seed,split,arm,vote_accuracy,oracle_accuracy
56,validation,S0,0.66,0.66
56,validation,S1,0.64,0.78
56,validation,S4,0.6,0.7
56,validation,Independent-GEPA,0.66,0.74
56,frozen_test,S0,0.688,0.688
56,frozen_test,S1,0.68,0.888
56,frozen_test,S4,0.696,0.784
56,frozen_test,Independent-GEPA,0.68,0.824
57,validation,S0,0.66,0.66
57,validation,S1,0.64,0.8
57,validation,S4,0.58,0.76
57,validation,Independent-GEPA,0.66,0.72
57,frozen_test,S0,0.68,0.68
57,frozen_test,S1,0.736,0.912
57,frozen_test,S4,0.712,0.832
57,frozen_test,Independent-GEPA,0.672,0.72
58,validation,S0,0.62,0.62
58,validation,S1,0.52,0.84
58,validation,S4,0.64,0.72
58,validation,Independent-GEPA,0.68,0.8
58,frozen_test,S0,0.68,0.68
58,frozen_test,S1,0.72,0.896
58,frozen_test,S4,0.712,0.784
58,frozen_test,Independent-GEPA,0.68,0.856
